Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Specificity
Optimized_LogisticRegression,0.5,0.5092592592592593,0.5392156862745098,0.5238095238095238,0.5322128851540616,0.45918367346938777
Optimized_RandomForest,0.5,0.5104166666666666,0.4803921568627451,0.494949494949495,0.4966986794717887,0.5204081632653061
Optimized_XGBoost,0.475,0.4845360824742268,0.46078431372549017,0.4723618090452261,0.47188875550220083,0.4897959183673469
